lemma	pos	def
-ϳων	adj	Suffix added to some adjectival roots to form a comparative adjective: -er
;	punct	? (the Greek question mark)
·	punct	The high point, used for the end of a sentence like a full stop, then for a medium pause like a semicolon.
ͷοῖκυ	noun	Pamphylian form of οἶκος (oîkos)
Άρτα	name	a male given name, Arta, from Proto-Saka, brother of Maues and father of Kharahostes
ΑΝΕ	name	nomen sacrum form of ἄνθρωπε (ánthrōpe)
ΑΝΟΙ	name	nomen sacrum form of ἄνθρωποι (ánthrōpoi)
ΑΝΟΙΣ	name	nomen sacrum form of ἀνθρώποις (anthrṓpois)
ΑΝΟΝ	name	nomen sacrum form of ἄνθρωπον (ánthrōpon)
ΑΝΟΣ	name	nomen sacrum form of ἄνθρωπος (ánthrōpos)
ΑΝΟΥ	name	nomen sacrum form of ἀνθρώπου (anthrṓpou)
ΑΝΟΥΣ	name	nomen sacrum form of ἀνθρώπους (anthrṓpous)
ΑΝΩ	name	nomen sacrum form of ἀνθρώπῳ (anthrṓpōi)
ΑΝΩΝ	name	nomen sacrum form of ἀνθρώπων (anthrṓpōn)
Αγαθόπολις	name	Ahtopol (a town in Bulgaria)
Αζιλίσης	name	a male given name, Azilises, from Proto-Saka, an Indo-Scythian king
Αἰήτης	name	(Greek mythology) Aeëtes (a king of Colchis, son of Helios and Perseis)
Αἰαία	name	(Greek mythology) the mythical island said to be the home of Circe
Αἰακίδης	name	a child of Aeacus; an Aeacid
Αἰακός	name	(Greek mythology) Aeacus
Αἰαῖος	adj	Aeaean (of or pertaining to Aea)
Αἰγαί	name	Aegae, the name of various places in ancient Greece
Αἰγαία θάλασσα	name	Aegaean Sea
Αἰγαῖον	name	Aegean Sea (a sea in the northeastern part of the Mediterranean Sea)
Αἰγαῖον πέλαγος	name	Aegean Sea
Αἰγαῖος	adj	Aegean
Αἰγεύς	name	a male given name, equivalent to English Aegeus
Αἰγιαλεύς	name	a male given name, Aegialeus
Αἰγινήτης	noun	an Aeginetan, inhabitant of Aegina
Αἰγυπτία	noun	A female form of Egyptian
Αἰγυπτιακός	adj	of or for the Egyptians
Αἰγυπτιστί	adv	in the Egyptian language
Αἰγυπτιώδης	adj	like an Egyptian
Αἰγυπτογενής	adj	born in Egypt | of Egyptian race
Αἰγύπτιοι	noun	(nationality) the nation of Egyptians
Αἰγύπτιος	adj	Egyptian
Αἰγύπτιος	noun	(demonym) Egyptian
Αἰδηψός	name	Aedepsus, Euboea, Greece
Αἰδώς	noun	Aidos
Αἰθάλεια	name	Elba (the largest island of the Tuscan Archipelago, in the Tyrrhenian Sea) | synonym of Λῆμνος (Lêmnos) (Lemnos: an island in the northeastern Aegaean Sea) | synonym of Χίος (Khíos) (Chios: an island in the eastern Aegaean Sea)
Αἰθίοψ	noun	Ethiopian
Αἰθαλίδης	name	a male given name — famously held by: a son of Hermes and Eupolemia, the herald of the Argonauts | a male given name — famously held by: an Achaean warrior, killed by Aeneas | a male given name — famously held by: a Tyrrhenian
Αἰθιοπία	name	Ethiopia (a historical region of East Africa)
Αἰθιοπική	noun	a (female) Ethiopian
Αἰθιοπικός	adj	Ethiopian | sunburned
Αἰθιοπικός	noun	a (male) Ethiopian
Αἰκατερίνη	name	a female given name, equivalent to English Catherine or Katharine
Αἰμίλιος	name	Aemilius; any individual among the Aemilius family
Αἰμιλία	name	Aemilia; any female individual among the Aemilius family | Emilia (a region of Italy)
Αἰνείας	name	(Greek mythology) Aeneas
Αἰνεσίδημος	name	a male given name, equivalent to English Aenesidemus
Αἰολία	name	Aeolia; the land or lands of the Aeolians | the previous name for Thessaly before the Greek Dark Ages, an older homeland of the Aeolians | Aeolis, a region in northwestern Asia Minor including the island of Lesbos, a later homeland of the Aeolians
Αἰολίς	name	Aeolis
Αἰολεύς	noun	an Aeolian; an inhabitant of Aeolis
Αἰολικός	adj	Aeolic
Αἰπύ	name	Aipy, Elis, Greece
Αἰσιμίδης	name	a male given name
Αἰσχίνης	name	a male given name, equivalent to English Aeschines | Aeschines, a 4th century BCE orator
Αἰσχύλος	name	a male given name, equivalent to English Aeschylus | Aeschylus, a tragic playwright
Αἰσών	name	Aeson, Thessaly, Greece
Αἰτωλία	name	Aetolia (a mountainous region of Greece on the north coast of the Gulf of Corinth, forming the eastern part of the modern prefecture of Aetolia-Acarnania)
Αἰτωλίς	noun	a (female) Aetolian (inhabitant of Aetolia)
Αἰτωλός	name	Aetolus
Αἰτωλός	noun	a (male) Aetolian (inhabitant of Aetolia)
Αἰών	name	(personified) a personification or divine hypostasis of time, lifespan, or eternity
Αἱμίμοντος	name	(historical) Haemimontus (an ancient region and later former Roman province situated in the Balkans, mainly in what is now Bulgaria and Turkey)
Αἴας	name	a male given name, equivalent to English Ajax
Αἴγειρα	name	Aegira; Aigeira, Greece
Αἴγινα	name	Aegina (an island of Greece) | (Greek mythology) Aegina (nymph of the island that bears her name)
Αἴγιον	name	Aegium; Aigio, Greece
Αἴγισθος	name	Aegisthus
Αἴγυπτος	name	(masculine) the Aegyptus river, i.e. the Nile River | (masculine) King Aegyptus | (feminine) Egypt (an ancient country and region of North Africa and West Asia)
Αἴδουος	name	one of the Aedui; an individual member of the Aedui
Αἴθαλος	name	a male given name
Αἴθιλλα	name	(Greek mythology) Aethilla, daughter of Laomedon and sister of Priamus
Αἴθρα	name	Aethra
Αἴθων	noun	name of the eagle that eats the liver of Prometheus
Αἴλανα	name	Elath (ancient city on the Gulf of Aqaba in modern-day Israel)
Αἴολος	name	(Greek mythology) Aeolus
Αἴσακος	name	(Greek mythology) a male given name Aesacus (son of Priam who mourned Cebren’s daughter) | (Greek mythology) a male given name the name of a centaur
Αἴσηπος	name	Aesepus (an important river in Mysia, modern-day Turkey)
Αἴσωπος	name	Aesop
Αἴτνη	name	(Greek mythology) Aetna (Sicilian nymph), related to the homonymous place. | Aetna (an ancient city in Sicily); Diodorus Siculus and Strabo write that Hiero conquered Κατάνη (Katánē) and deported its inhabitants to Λεοντῖνοι (Leontînoi), repopulating it with Greeks of Doric descent and changing its name to Aítnā. | Mount Etna
Αἵμων	name	Haemon
Αἶα	name	Aea, Colchis
Αἶνος	name	Aenus
Αἷμος	name	Haemus
Αὐγείας	name	a male given name, equivalent to English Augeas
Αὐγειαί	name	Augeiae (a town in Locris, Greece) | Augeiae (a town in Laconia, Greece)
Αὐγουστῖνος	name	a male given name, equivalent to English Augustine
Αὐδυναῖος	name	Audynaius, the name of a Macedonian month corresponding to December
Αὐεντῖνον	name	Aventine Hill (a hill in Rome, Italy)
Αὐλίς	name	Aulis (a port town in Boeotia, Greece)
Αὐρήλιος	name	Aurelius
Αὐρηλιανός	name	Aurelian
Αὐσονία	name	(poetic) Italy
Αὐτομέδων	name	Automedon, the charioteer of Achilles in the Iliad
Αὐτονόη	name	a female given name, Autonoe
